country,date,name,price,weight
nic,1/14/2022,crema tomate maggi ,17,0.08
nic,1/14/2022,flan sabemas vainilla con caramelo ,27,0.13
nic,1/14/2022,cafe san sebastianano oscuro ,140,0.4
nic,1/14/2022,frijol naturas molido rojo ,52,0.4
nic,1/14/2022,chop suey el chinito bolsa ,16,0.11
nic,1/14/2022,aceite ambar de soya ,176,1.89
nic,1/14/2022,cereal kellogrgr's® zucaritas® sabor origrinal  hojuelas de maíz escarchadas con azúcar   caja de,235,0.71
nic,1/14/2022,salsa suli vegetales tipo inglesa,51,0.7
nic,1/14/2022,pasta roma corta cabellos ,37,0.25
nic,1/14/2022,granola naturalez fibra especial ,51,0.28
nic,1/14/2022,sardina sardimar dulce g,33,0.16
nic,1/14/2022,mezcla krusteaz pancake muttermilk ,110,0.91
nic,1/14/2022,miel de abeja miss amalie botella ,110,0.34
nic,1/14/2022,almendraeat value natural,210,0.45
nic,1/14/2022,cafe casa del cafe molido vainilla ,185,0.4
nic,1/14/2022,comino sol maya en polvo ,19,0.01
nic,1/14/2022,vegetaleseat value mixtos ,40,0.42
nic,1/14/2022,consome gallina maggi sabor y color x,13,0.01
nic,1/14/2022,gv galleta limon rellena crema,99,0.71
nic,1/14/2022,salsa china mccormick ,91,0.3
nic,1/14/2022,snack taquerito yummies chile toreado ,35,0.18
nic,1/14/2022,galleta pozuelo tosh coco almendra  .gr,93,0.0
nic,1/14/2022,sopa nissin instantanea pollo vaso ,20,0.06
nic,1/14/2022,paleta ricolino payaso malvav mini,15,0.02
nic,1/14/2022,endulzanteeat value steviaanulada ,180,0.28
nic,1/14/2022,salsa roma preparada sofrito ,17,0.11
nic,1/14/2022,galleta sabemas maria ,19,0.17
nic,1/14/2022,salsa don julio picante chile rojo ,61,0.46
nic,1/14/2022,oregano badia entero ,52,0.01
nic,1/14/2022,galleta pozuelo chiky fresa ,63,0.48
nic,1/14/2022,cerealeat value aros miel ,137,0.61
nic,1/14/2022,mojo badia marinado,158,0.59
nic,1/14/2022,boquitas yummies nacho con queso ,29,0.15
nic,1/14/2022, pack galleta marinela chocolate ,67,0.34
nic,1/14/2022,mani pro limon sal ,19,0.08
nic,1/14/2022,la coste§a ensalada campesina x,34,0.22
nic,1/14/2022,vinagre goya blanco destilado ,137,0.95
nic,1/14/2022,consome gallina maggi mi sazon ,13,0.04
nic,1/14/2022,consome pollo maggi tira x,42,0.01
nic,1/14/2022,especias sasson pimienta negra ,50,0.06
nic,1/14/2022,cebada sasa instantanea ,31,0.4
nic,1/14/2022,aceite de soya ambar ,74,0.75
nic,1/14/2022,harina jinca foods de arroz ,56,0.45
nic,1/14/2022,sardina sardimar picante  g,33,0.16
nic,1/14/2022,premezcla jinca para pancake gfree,83,0.45
nic,1/14/2022,galleta navidad sams choice lata,98,0.34
nic,1/20/2022,frijol sabemas rojo ,97,1.82
nic,1/20/2022,azucar golden brown morena ,75,2.0
nic,1/20/2022,arroz el faisan  ,99,2.0
nic,1/20/2022,azucar mote rosa sulfitada ,61,2.0
nic,1/20/2022,galleta nabisco oreo regular ,75,0.43
nic,1/20/2022,sal sol refinada yodada bolsa ,15,0.5
nic,1/20/2022,galleta pozuelo maria  unidades ,52,0.25
nic,1/20/2022,galleta club social integral ,38,0.23
nic,1/20/2022,sopa pollo con fideos maggi ,12,0.06
nic,1/20/2022,ketchup kern's botella plastico ,45,0.38
nic,1/20/2022,sal atlantidauesa molida y seca,8,0.45
nic,1/20/2022,harina de maiz maseca bolsa ,100,2.27
nic,1/20/2022,azucar san antonio refinada ,74,2.0
nic,1/20/2022,arroz carolinaano entero,83,2.0
nic,1/20/2022,arroz faisan ,449,11.34
nic,1/20/2022,cafe selecto molido superior ,131,0.4
nic,1/20/2022,avena sabemas en hojuelas ,59,1.0
nic,1/20/2022,maizeat value lata  .oz ,35,0.25
nic,1/20/2022,arroz / el faisan ,329,6.8
nic,1/20/2022,pasta naturas de tomate tradicional ,37,0.21
nic,1/20/2022,vinagre sabemas claro ,19,0.7
nic,1/20/2022,galleta de maiz sanissimo salmas ,58,0.14
nic,1/20/2022,avena sasa molida ,30,0.4
nic,1/20/2022,miel aunt jemma original pancake ,71,0.36
nic,1/20/2022,galleta nabisco chips ahoy ,90,0.34
nic,1/20/2022,frijol sabemasanel rojo  ,22,0.45
nic,1/20/2022,frijol sabemasano rojo ,47,0.9
nic,1/20/2022,harina de maiz del comal ,39,0.91
nic,1/20/2022,arroz tio pelonano entero  ,71,2.0
nic,1/20/2022,arroz suli aanel  ,16,0.45
nic,1/20/2022,atun suli  pack trocitos en agua,119,0.56
nic,1/20/2022,salsa de soya mccormick ,91,0.3
nic,1/20/2022,mezclaeat value panqueques original ,88,0.91
nic,1/20/2022,harina bollo fino de trigo ,66,2.0
nic,1/20/2022,frijol suli rojo ,93,1.82
nic,1/20/2022,salsaeat value para spaguetti ,92,0.68
nic,1/20/2022,cafe molido segovia puro regular ,105,0.4
nic,1/20/2022,,10,
nic,1/20/2022,consome pollo maggi x,13,0.01
nic,1/20/2022,mostaza hellmanns doy pack ,23,0.2
nic,1/20/2022,aceiteeat value oliva extra virgen ,162,0.75
nic,1/20/2022,flor de jamaica sabemas deshidrata ,41,0.1
nic,1/20/2022,te gv de manzanilla ,22,0.02
nic,1/20/2022,cubito pollo maggi abre facil ,24,0.1
